array_type,size,algorithm,mean_time_us,mean_char_comparisons,runs,seed
"nearly_sorted",100,"MSDRadixQuickSort",7.200,471.900,10,20260524
"nearly_sorted",100,"MSDRadixSort",14.900,228.200,10,20260524
"nearly_sorted",100,"MergeSort",26.400,728.800,10,20260524
"nearly_sorted",100,"QuickSort",15.700,14253.400,10,20260524
"nearly_sorted",100,"StringMergeSort",47.600,347.600,10,20260524
"nearly_sorted",100,"StringQuickSort",3.000,609.300,10,20260524
"nearly_sorted",200,"MSDRadixQuickSort",14.600,979.500,10,20260524
"nearly_sorted",200,"MSDRadixSort",28.400,460.200,10,20260524
"nearly_sorted",200,"MergeSort",51.600,1683.700,10,20260524
"nearly_sorted",200,"QuickSort",31.300,29315.600,10,20260524
"nearly_sorted",200,"StringMergeSort",96.400,747.100,10,20260524
"nearly_sorted",200,"StringQuickSort",5.500,1500.400,10,20260524
"nearly_sorted",300,"MSDRadixQuickSort",21.800,1479.600,10,20260524
"nearly_sorted",300,"MSDRadixSort",42.200,693.400,10,20260524
"nearly_sorted",300,"MergeSort",85.400,2706.700,10,20260524
"nearly_sorted",300,"QuickSort",45.800,43580.800,10,20260524
"nearly_sorted",300,"StringMergeSort",152.200,1164.500,10,20260524
"nearly_sorted",300,"StringQuickSort",8.200,2277.500,10,20260524
"nearly_sorted",400,"MSDRadixQuickSort",29.500,1995.800,10,20260524
"nearly_sorted",400,"MSDRadixSort",57.500,930.200,10,20260524
"nearly_sorted",400,"MergeSort",112.900,3800.100,10,20260524
"nearly_sorted",400,"QuickSort",62.600,59396.000,10,20260524
"nearly_sorted",400,"StringMergeSort",206.100,1562.500,10,20260524
"nearly_sorted",400,"StringQuickSort",10.900,3091.800,10,20260524
"nearly_sorted",500,"MSDRadixQuickSort",37.500,2517.700,10,20260524
"nearly_sorted",500,"MSDRadixSort",75.000,1170.700,10,20260524
"nearly_sorted",500,"MergeSort",152.100,5046.900,10,20260524
"nearly_sorted",500,"QuickSort",79.700,75052.400,10,20260524
"nearly_sorted",500,"StringMergeSort",267.700,2035.400,10,20260524
"nearly_sorted",500,"StringQuickSort",14.200,4036.900,10,20260524
"nearly_sorted",600,"MSDRadixQuickSort",44.400,3042.100,10,20260524
"nearly_sorted",600,"MSDRadixSort",87.300,1407.600,10,20260524
"nearly_sorted",600,"MergeSort",184.500,6068.700,10,20260524
"nearly_sorted",600,"QuickSort",96.000,88000.200,10,20260524
"nearly_sorted",600,"StringMergeSort",331.400,2416.000,10,20260524
"nearly_sorted",600,"StringQuickSort",17.300,5013.100,10,20260524
"nearly_sorted",700,"MSDRadixQuickSort",51.500,3560.600,10,20260524
"nearly_sorted",700,"MSDRadixSort",101.400,1647.100,10,20260524
"nearly_sorted",700,"MergeSort",220.000,7236.700,10,20260524
"nearly_sorted",700,"QuickSort",109.800,102299.900,10,20260524
"nearly_sorted",700,"StringMergeSort",382.300,2842.100,10,20260524
"nearly_sorted",700,"StringQuickSort",20.000,6055.900,10,20260524
"nearly_sorted",800,"MSDRadixQuickSort",61.500,4102.100,10,20260524
"nearly_sorted",800,"MSDRadixSort",120.900,1886.000,10,20260524
"nearly_sorted",800,"MergeSort",246.300,8512.600,10,20260524
"nearly_sorted",800,"QuickSort",125.000,118360.500,10,20260524
"nearly_sorted",800,"StringMergeSort",442.000,3307.000,10,20260524
"nearly_sorted",800,"StringQuickSort",22.600,6843.200,10,20260524
"nearly_sorted",900,"MSDRadixQuickSort",69.800,4645.600,10,20260524
"nearly_sorted",900,"MSDRadixSort",141.100,2122.200,10,20260524
"nearly_sorted",900,"MergeSort",294.000,9869.000,10,20260524
"nearly_sorted",900,"QuickSort",146.900,135194.700,10,20260524
"nearly_sorted",900,"StringMergeSort",521.500,3830.600,10,20260524
"nearly_sorted",900,"StringQuickSort",27.600,8064.200,10,20260524
"nearly_sorted",1000,"MSDRadixQuickSort",76.700,5191.100,10,20260524
"nearly_sorted",1000,"MSDRadixSort",151.700,2365.300,10,20260524
"nearly_sorted",1000,"MergeSort",330.000,11291.600,10,20260524
"nearly_sorted",1000,"QuickSort",159.400,149132.400,10,20260524
"nearly_sorted",1000,"StringMergeSort",571.900,4374.800,10,20260524
"nearly_sorted",1000,"StringQuickSort",30.700,9082.600,10,20260524
"nearly_sorted",1100,"MSDRadixQuickSort",87.700,5740.500,10,20260524
"nearly_sorted",1100,"MSDRadixSort",174.700,2609.100,10,20260524
"nearly_sorted",1100,"MergeSort",370.100,12488.900,10,20260524
"nearly_sorted",1100,"QuickSort",178.100,165521.200,10,20260524
"nearly_sorted",1100,"StringMergeSort",655.700,4806.900,10,20260524
"nearly_sorted",1100,"StringQuickSort",35.300,10083.500,10,20260524
"nearly_sorted",1200,"MSDRadixQuickSort",95.300,6294.300,10,20260524
"nearly_sorted",1200,"MSDRadixSort",188.900,2851.200,10,20260524
"nearly_sorted",1200,"MergeSort",408.200,13689.900,10,20260524
"nearly_sorted",1200,"QuickSort",196.000,179238.700,10,20260524
