run,array_type,size,algorithm,time_us,char_comparisons,seed
1,"random",100,"QuickSort",53,13775,20260524
1,"random",100,"MergeSort",106,590,20260524
1,"random",100,"StringQuickSort",13,629,20260524
1,"random",100,"StringMergeSort",176,496,20260524
1,"random",100,"MSDRadixSort",60,182,20260524
1,"random",100,"MSDRadixQuickSort",23,206,20260524
1,"random",200,"QuickSort",104,29765,20260524
1,"random",200,"MergeSort",201,1478,20260524
1,"random",200,"StringQuickSort",27,1581,20260524
1,"random",200,"StringMergeSort",352,1154,20260524
1,"random",200,"MSDRadixSort",111,403,20260524
1,"random",200,"MSDRadixQuickSort",45,519,20260524
1,"random",300,"QuickSort",149,44250,20260524
1,"random",300,"MergeSort",285,2514,20260524
1,"random",300,"StringQuickSort",35,2435,20260524
1,"random",300,"StringMergeSort",454,1903,20260524
1,"random",300,"MSDRadixSort",130,614,20260524
1,"random",300,"MSDRadixQuickSort",59,902,20260524
1,"random",400,"QuickSort",184,60245,20260524
1,"random",400,"MergeSort",356,3637,20260524
1,"random",400,"StringQuickSort",49,3404,20260524
1,"random",400,"StringMergeSort",588,2645,20260524
1,"random",400,"MSDRadixSort",168,827,20260524
1,"random",400,"MSDRadixQuickSort",85,1351,20260524
1,"random",500,"QuickSort",238,79062,20260524
1,"random",500,"MergeSort",465,4822,20260524
1,"random",500,"StringQuickSort",60,4988,20260524
1,"random",500,"StringMergeSort",757,3453,20260524
1,"random",500,"MSDRadixSort",204,1035,20260524
1,"random",500,"MSDRadixQuickSort",108,1797,20260524
1,"random",600,"QuickSort",293,91969,20260524
1,"random",600,"MergeSort",543,6111,20260524
1,"random",600,"StringQuickSort",64,6020,20260524
1,"random",600,"StringMergeSort",769,4316,20260524
1,"random",600,"MSDRadixSort",197,1249,20260524
1,"random",600,"MSDRadixQuickSort",108,2309,20260524
1,"random",700,"QuickSort",295,111964,20260524
1,"random",700,"MergeSort",566,7370,20260524
1,"random",700,"StringQuickSort",74,6409,20260524
1,"random",700,"StringMergeSort",903,5132,20260524
1,"random",700,"MSDRadixSort",231,1474,20260524
1,"random",700,"MSDRadixQuickSort",127,2916,20260524
1,"random",800,"QuickSort",324,125539,20260524
1,"random",800,"MergeSort",648,8765,20260524
1,"random",800,"StringQuickSort",85,7958,20260524
1,"random",800,"StringMergeSort",971,6047,20260524
1,"random",800,"MSDRadixSort",225,1700,20260524
1,"random",800,"MSDRadixQuickSort",127,3556,20260524
1,"random",900,"QuickSort",308,131438,20260524
1,"random",900,"MergeSort",670,10191,20260524
1,"random",900,"StringQuickSort",86,8977,20260524
1,"random",900,"StringMergeSort",1027,6990,20260524
1,"random",900,"MSDRadixSort",254,1919,20260524
1,"random",900,"MSDRadixQuickSort",148,4133,20260524
1,"random",1000,"QuickSort",357,154427,20260524
1,"random",1000,"MergeSort",741,11565,20260524
1,"random",1000,"StringQuickSort",98,9914,20260524
1,"random",1000,"StringMergeSort",1121,7870,20260524
1,"random",1000,"MSDRadixSort",290,2150,20260524
1,"random",1000,"MSDRadixQuickSort",162,4727,20260524
1,"random",1100,"QuickSort",392,165059,20260524
1,"random",1100,"MergeSort",787,13036,20260524
1,"random",1100,"StringQuickSort",97,11367,20260524
1,"random",1100,"StringMergeSort",1134,8841,20260524
1,"random",1100,"MSDRadixSort",279,2379,20260524
1,"random",1100,"MSDRadixQuickSort",162,5346,20260524
1,"random",1200,"QuickSort",382,185063,20260524
1,"random",1200,"MergeSort",816,14524,20260524
1,"random",1200,"StringQuickSort",107,12503,20260524
1,"random",1200,"StringMergeSort",1244,9785,20260524
1,"random",1200,"MSDRadixSort",308,2607,20260524
1,"random",1200,"MSDRadixQuickSort",181,5971,20260524
1,"random",1300,"QuickSort",389,195521,20260524
1,"random",1300,"MergeSort",844,16048,20260524
1,"random",1300,"StringQuickSort",108,14857,20260524
1,"random",1300,"StringMergeSort",1287,10775,20260524
1,"random",1300,"MSDRadixSort",310,2846,20260524
1,"random",1300,"MSDRadixQuickSort",177,6560,20260524
1,"random",1400,"QuickSort",400,209476,20260524
1,"random",1400,"MergeSort",862,17513,20260524
1,"random",1400,"StringQuickSort",111,14529,20260524
1,"random",1400,"StringMergeSort",1290,11655,20260524
1,"random",1400,"MSDRadixSort",304,3074,20260524
1,"random",1400,"MSDRadixQuickSort",179,7176,20260524
1,"random",1500,"QuickSort",419,226303,20260524
1,"random",1500,"MergeSort",923,19098,20260524
1,"random",1500,"StringQuickSort",117,16672,20260524
1,"random",1500,"StringMergeSort",1341,12650,20260524
1,"random",1500,"MSDRadixSort",310,3320,20260524
1,"random",1500,"MSDRadixQuickSort",182,7865,20260524
1,"random",1600,"QuickSort",426,245343,20260524
1,"random",1600,"MergeSort",940,20678,20260524
1,"random",1600,"StringQuickSort",121,17759,20260524
1,"random",1600,"StringMergeSort",1426,13604,20260524
1,"random",1600,"MSDRadixSort",334,3578,20260524
1,"random",1600,"MSDRadixQuickSort",193,8615,20260524
1,"random",1700,"QuickSort",454,261343,20260524
1,"random",1700,"MergeSort",954,22328,20260524
1,"random",1700,"StringQuickSort",125,18035,20260524
1,"random",1700,"StringMergeSort",1420,14633,20260524
1,"random",1700,"MSDRadixSort",340,3835,20260524
1,"random",1700,"MSDRadixQuickSort",195,9437,20260524
1,"random",1800,"QuickSort",454,279104,20260524
1,"random",1800,"MergeSort",1017,23944,20260524
1,"random",1800,"StringQuickSort",134,22030,20260524
1,"random",1800,"StringMergeSort",1476,15639,20260524
1,"random",1800,"MSDRadixSort",357,4086,20260524
1,"random",1800,"MSDRadixQuickSort",205,9851,20260524
1,"random",1900,"QuickSort",466,301080,20260524
1,"random",1900,"MergeSort",1023,25535,20260524
1,"random",1900,"StringQuickSort",130,21913,20260524
1,"random",1900,"StringMergeSort",1525,16646,20260524
1,"random",1900,"MSDRadixSort",373,4343,20260524
1,"random",1900,"MSDRadixQuickSort",216,10662,20260524
1,"random",2000,"QuickSort",470,316934,20260524
1,"random",2000,"MergeSort",1046,27165,20260524
1,"random",2000,"StringQuickSort",136,26395,20260524
